problem,reasoning,program,error
scheduling,Use QF_UF and QF_LIA axioms to prove that a valid schedule can be constructed from a given set of jobs with different durations.,"use set-logic QF_UF;\nuse set-logic QF_LIA;\ndeclare const job_durations (\n  var duration : integer;\n  for i in range (0, 100) :\n    assert (job_durations[i] <= i);\n  endfor);",Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying the linear programming relaxation of the knapsack problem,Using QF_UF with an interval representation to solve this linear program,"\[\fbox{1. \# Define variables x1, x2, ..., xn as real numbers \n \[\bf{begin} \n \bf{begin} \n \bf{x} = [x1, x2, ..., xn] \n \bf{end} \n \bf{end} \n \bf{begin} \n \bf{for} i from 1 to n \n \bf{where} \n |xi - xi+1| < 1 \n \bf{end} \n \bf{begin} \n \bf{for} i from 2 to n \n \bf{where} \n |x1i - x1(i-1)| < 0.5 \n \bf{and} \n xi+1 - x1i > 0 \n \bf{end} \n \bf{begin} \n \bf{for} i from n+1 to m \n \bf{where} \n |x1i - x1(i-1)| < 1 \n \bf{and} \n xi+1 - x1i > 0.5 \n \bf{end} \n \bf{begin} \n \bf{for} i from m+1 to n \n \bf{where} \n |x2i - x2(i-1)| < 1 \n \bf{and} \n xi+1 - x2i > 0.5 \n \bf{end} \n \bf{begin} \n \bf{for} i from n+1 to m \n \bf{where} \n |x3i - x3(i-1)| < 1 \n \bf{and} \n xi+1 - x3i > 0.5 \n \bf{end} \n \bf{begin} \n \bf{for} i from m+1 to n \n \bf{where} \n |x4i - x4(i-1)| < 1 \n \bf{and} \n xi+1 - x4i > 0.5 \n \bf{end} \n \bf{begin} \n \bf{for} i from n+1 to m \n |xi + (xi+1)/2 <= x1i \n \n for i from 1 to m \n xi - (xi+1)/2 >= xi1i \n \n end \n \\n SMT-LIB code here",Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Integer linear programming to optimize task allocation on a machine with multiple processing units.,\begin{pmatrix} QF_UF \ QLIA \\n  declare-const machine m : unit; \n  declare-const task t1 : task; \n  declare-const task t2 : task; \n  declare-const unit u : unit; \n  assert (t1 = 0) \n  assert (t2 = 0) \n  check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Minimize Latency,Use QF_UF to model scheduling as a set of tasks with durations and precedence constraints.,satisfy '(set-logic QF_UF)\n(declare-const duration int)\n\n(assert (>= 0 duration)\n(check-sat),Unbalanced parentheses
scheduling,# Use QF_UF and QF_LIA rules with simple integer constraints to model the scheduling problem. The SMT-LIB program should include the following constraints: # A must be executed by processor C1 P_A <= P_C1 * 2; # Assign tasks to processors based on their capabilities # B must be executed by processor C2 P_B <= P_C2 * 3; # Assign tasks to processors based on their capabilities # Check if the assignment satisfies all constraints,# SMT-LIB code\n# Define the process types\nset-logic QF_UF\nset-logic QF_LIA\n# Declare the processes and their capabilities\ndeclare-const P_A : process (input : integer) -> integer;\ndeclare-const P_B : process (input : integer) -> integer;\nassert P_A >= 0; # A must be non-negative\nassert P_B >= 0; # B must be non-negative\n# Declare the processors and their capacities\ndeclare-const P_C1 : processor (capacity : integer) -> boolean;\ndeclare-const P_C2 : processor (capacity : integer) -> boolean;\nassert P_C1 >= 2; # C1 must have at least two processes\nassert P_C2 >= 3; # C2 must have at least three processes,Missing required SMT-LIB components (declare-const/fun and assert)
"Satisfies the linear programming relaxation of the flow network of scheduling problem with three nodes and four edges, where each edge has two capacities.",This problem can be solved using the flow network solver of SMT-LIB.,"int n = 3; int m = 4; int flow1[2], flow2[2]; assert (flow1[0] + flow1[1] <= 2 && flow2[0] + flow2[1] <= 2);",Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Construct a scheduling problem with two tasks that cannot be scheduled together.,"\n\ndeclare-const x \""Task A\""; \ndeclare-const y \""Task B\"";\nassert (x <> y);\ncheck-sat",Missing required SMT-LIB components (declare-const/fun and assert)
scheduling: max-work-hours,"assert (set-logic QF_UF) and (declare-const hours 1: integer) and (declare-const total_hours 0: integer) and (assert (=, total_hours, sumhours(hours))) and (check-sat)","(set-logic QF_UF)\n(integers 0..100: total-hours)\n(assert (=, total-hours, sumhours(1)))\n(check-sat)",Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF or QF_LIA with simple integer and boolean constraints to model a scheduling algorithm that assigns jobs to machines based on their processing time and machine capacity.,"\n\n\n\nset-logic QF_UF\n\n\n\ndeclare-const \n\n\n\nJob {id < 1, id > 0, start_time < 0, end_time > 0}\n\n\n\ndeclare-const \n\n\n\nMachine {id < 1, capacity < 10, idle_capacity >= 0}\n\n\n\nassert \n\n\n\nforall Job j (j-> Machine M exists where M.id = j.id and M.capacity > 0) \\n\n\n\ncheck-sat",Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF with integer variables,int x \n var y \n assert x + y = 1; check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF to solve this scheduling problem.,(set-logic QF_UF),Program too short
\(\setoflucore uf) \+ (\declareconst i32 x 10),\(\checksat (\assert true) \| (\checksat false)),\sMT\2a5\n,Program too short
Scheduling Problem,Use QF_UF to model scheduling as a maximization problem.,"\uqf-\ uf \ndeclare-const \nmax:bool \nbudget:integer; \n\n\n\nfor \n i \nbegins \nfrom \ngreates-to \nfor \nrays \nsat:bool \nlower-bound:integer \n\n\n\nassert \n( \ngreates-to( \n0, 10) <= \nmax) \n\n\n\ncheck-sat; \n",Missing required SMT-LIB components (declare-const/fun and assert)
"{'type': 'scheduling', 'domain': 'transportation'}","{'type': 'explanation', 'domain': 'scheduling'}",set-logic QF_UF\nset-symbols-and-variables x y z\nassert (x > 0)\ndeclare-variable x int\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
