problem,reasoning,program
scheduling,Use QF_UF and QF_LIA axioms to prove that a valid schedule can be constructed from a given set of jobs with different durations.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Satisfying the linear programming relaxation of the knapsack problem,Using QF_UF with an interval representation to solve this linear program,(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 10))) (check-sat)
Scheduling Problem,Integer linear programming to optimize task allocation on a machine with multiple processing units.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem: Minimize Latency,Use QF_UF to model scheduling as a set of tasks with durations and precedence constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
scheduling,# Use QF_UF and QF_LIA rules with simple integer constraints to model the scheduling problem. The SMT-LIB program should include the following constraints: # A must be executed by processor C1 P_A <= P_C1 * 2; # Assign tasks to processors based on their capabilities # B must be executed by processor C2 P_B <= P_C2 * 3; # Assign tasks to processors based on their capabilities # Check if the assignment satisfies all constraints,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"Satisfies the linear programming relaxation of the flow network of scheduling problem with three nodes and four edges, where each edge has two capacities.",This problem can be solved using the flow network solver of SMT-LIB.,(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 10))) (check-sat)
Scheduling Problem,Construct a scheduling problem with two tasks that cannot be scheduled together.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
scheduling: max-work-hours,"assert (set-logic QF_UF) and (declare-const hours 1: integer) and (declare-const total_hours 0: integer) and (assert (=, total_hours, sumhours(hours))) and (check-sat)",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem,Use QF_UF or QF_LIA with simple integer and boolean constraints to model a scheduling algorithm that assigns jobs to machines based on their processing time and machine capacity.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem,Use QF_UF with integer variables,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem,Use QF_UF to solve this scheduling problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
\(\setoflucore uf) \+ (\declareconst i32 x 10),\(\checksat (\assert true) \| (\checksat false)),(set-logic QF_LIA) (declare-const i32 Int) (declare-const uf Int) (assert (and (>= i32 0) (<= i32 10))) (assert (and (>= uf 0) (<= uf 10))) (assert (= (+ i32 uf) 10)) (check-sat)
Scheduling Problem,Use QF_UF to model scheduling as a maximization problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"{'type': 'scheduling', 'domain': 'transportation'}","{'type': 'explanation', 'domain': 'scheduling'}",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem,Check if this scheduling problem is solvable in practice.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Satisfying a scheduling problem,"{'approach': 'brute-force', 'search': 'depth-first'}",(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
\(declare-const x 0: Int\); (set-logic QF_UF)\n(declare-const y 1: Boolean; (assert \(x = true; \))\n(check-sat),Using the properties of equality and union to derive new constraints,(set-logic QF_LIA) (declare-const n Int) (assert (= n 0)) (check-sat)
Scheduling Problem,Use QF_LIA and set-logic QF_UF to generate constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling problem to minimize make times and meet deadlines,Use QF_UF and QF_LIA rules to analyze constraints on machine times and resource utilization.,(set-logic QF_LIA) (declare-const to_slot Int) (assert (and (>= to_slot 1) (<= to_slot 3))) (check-sat)
Scheduling Problem,Use QF_UF and QF_LIA to enforce valid scheduling rules,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem,"Given a set of tasks with start and finish times, determine the optimal scheduling order to minimize total wait time.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem,Use QF_UF and QF_LIA to model the scheduling of tasks on a shared resource.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem,Use QF_UF and QF_LIA SMT-LIB rules to derive a valid scheduling plan.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem,Use QF_UF and QF_LIA rules to generate valid constraints,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem: Minimize Latency,Use QF_LIA and set-logic QF_UF to ensure validity and correctness.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem: Find an assignment that satisfies all constraints,"Using QF_UF and QF_LIA, derive valid integer constraints to satisfy the scheduling problem.",(set-logic QF_LIA) (declare-const an Int) (assert (and (>= an 0) (<= an 10))) (check-sat)
Scheduling Problem: Maximum Number of Tasks with No Overlapping Constraints,Use QF_UF and QF_LIA rules to model task constraints and find the optimal schedule.,(set-logic QF_LIA) (declare-const No Int) (assert (and (>= No 0) (<= No 10))) (check-sat)
Scheduling Problem,Use QF_LIA to reason about scheduling constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem: Maximize the number of customers served while minimizing idle time,"Use QF_UF and QF_LIA rules to model the scheduling problem, including constraints on customer arrival and departure times, as well as idle time.",(set-logic QF_LIA) (declare-const of_slot Int) (assert (and (>= of_slot 1) (<= of_slot 3))) (check-sat)
Scheduling Problem: Find an optimal assignment of jobs to machines in a factory,"Use QF_UF and QF_LIA rules to solve this scheduling problem, ensuring that all constraints are satisfied exactly.",(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
Scheduling Problem,"Given two tasks with deadlines d1 and d2, find the earliest possible completion time T such that both tasks are completed within their deadlines.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Scheduling Problem,Use QF_UF and QF_LIA rules to solve the scheduling problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
(set-logic QF_UF  (declare-const x int)  (declare-const y int)  (assert (>= x 0)    (<= y 10) ),This is a problem that will be solved using SMT-LIB.,(set-logic QF_LIA) (declare-const x Int) (assert (= x 0)) (check-sat)
Scheduling Problem,Formally specify scheduling constraints using QF_UF and QF_LIA.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
