problem,reasoning,program
"A woman has two coins that total 30 cents. One coin is not a nickel, and one coin is not a quarter. What type of coin are they?","To solve this problem, we can use QF_UF (Universal First-Order Formula) to represent the given constraints. We need to find two integers x and y such that x + y = 30, x is not equal to 5 (nickel), and y is not equal to 10 (quarter).",set-logic QF_UF\ndeclare-const x : int\ndeclare-const y : int\nassert x + y = 30\nassert x != 5\nassert y != 10
"A farmer has a rectangular field with integer coordinates in pixels, and she wants to know if it's possible to place a row of n x m flowers on this field such that no two flowers are adjacent.",This problem can be solved using QF_UF (Unfolding Formulas) or QF_LIA (Linear Arithmetic Inequality).,(set-logic QF_UF)\n\n(declare-const x1 9 (fixpoint int))\n\n(assert (forall (x y) (\n    (and (>= x 0) (<= x x1) ) \n        (and (>= y 0) (<= y x1) ) \n        (not = (mod x y) )))\n)
Solve for x: 2*x + 5 = 11,Use QF_LIA and set-logic to model this equation as an equality of integer constraints.,set-logic QF_UF\ndeclare-const x int\nassert (x > 0)\nassert (2*x + 5 = 11)
"A farmer has a field with 3 rows and 4 columns. Each cell can hold either an integer from 1 to 10, inclusive.","{   (set-logic QF_UF)   (declare-const row1 int   row2 int   row3 int),   (declare-const col1 int   col2 int   col3 int),   (assert (>= row1 1)            (<= row1 10))   (assert (>= row2 1)            (<= row2 10))   (assert (>= col1 1)            (<= col1 4))   (assert (>= col2 1)            (<= col2 3))   (assert (>= col3 1)            (<= col3 4))   (check-sat)}",smt2\n  set-logic QF_UF;\n  declare-const row1 int;\n  declare-const row2 int;\n  declare-const row3 int;\n  declare-const col1 int;\n  declare-const col2 int;\n  declare-const col3 int;
3+2=5,"Using QF_LIA, we can assert that the sum of two integers less than or equal to 10 is greater than 1 and less than or equal to 15.",set-logic QF_UF\nset-logic quantifier\ndeclare-const x : int > 0\nassert (x + 2 <= 10) > 1 & (x + 2 >= 1)\ncheck-sat
Solve for x: 2*x + 5 = 11,"Use QF_LIA with constraints: x >= 0, 2x <= 6",declare x\nset-logic QF_UF\nassert (set-variable x 1)\nassert (nonnegative x)\nassert (leq 6 2*x)\ncheck-sat
(set-logic QF_UF (declare-const x 1) (assert (>= x 0)) (check-sat),"This is a simple satisfiability problem, where we need to find an assignment of values to the variable x such that all constraints are satisfied.",\u03c0\u03b5\u03a7\u03d4\u03b9\u03ac\u03bc\u03c0\u03c1\u03b8\u03bb\u037f\u0392\u0341\u0336\u0333\u032f\u035a\u037e\u0387\u038d\u0385\u0389\u03bf\u0360\u0334\u037c\u0383\u039b\u0378\u0345\u0301\u0376\u037f\u0322\u031e\u035a\u037d\u0387\u0389\u037f\u0360\u0334\u037c\u0383\u039b\u0378\u0345\u0301\u0376\u037f\u0322\u031e\u035a\u037d\u0387\u0389\u037f\u0360\u0334\u037c\u0383\u039b\u0378\u0345\u0301\u0376\u037f\u0322)
"Solve the following logic puzzle: A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. If you have 5 times as many bats as balls, how much will you pay?","Let B represent the number of balls and B+ represent the number of bats. From the first equation, we get: B + (B+1) = 10. This simplifies to 2B + 1 = 10, or B = 4.5. Since you can't pay for a fraction of a bat, this means that the only possible solution is to have 5 balls and 4 bats.",\n\n\n\nset-logic QF_UF\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n
The Five Houses Puzzle,Use the QF_UF and QF_LIA rules to prove that there is only one possible placement of the five houses.,"\(set-logic QF_UF\)\n\(declare-const H1 \ Geometric::Point\ with X, Y\)\n\(declare-const H2 \ Geometric::Point\ with X, Y\)\n\(declare-const H3 \ Geometric::Point\ with X, Y\)\n\(declare-const H4 \ Geometric::Point\ with X, Y\)\n\(declare-const H5 \ Geometric::Point\ with X, Y\)\n\(assert (forall x y z w v e f g h i j k l m n o p q r s t u v w x y z ||\n  ((H1 = (H2 + H3) + H4 && H5 = (H2 - H3) + H4 && H6 = \n    ((H1 . X) == (H2 . Y)) && (H7 . X) == (H3 . Y))) ||\n  ((H1 = (H2 - H3) + H4 && H5 = (H1 + H2) + H4 && H8 = \n    ((H1 . Y) == (H2 . X)) && (H9 . Y) == (H3 . X))) ||\n  ((H1 = (H2 + H3) + H4 && H5 = (H7 - H6) + H4 && H10 = \n    ((H1 . X) == (H7 . Y)) && (H11 . X) == (H3 . Y))) ||\n  ((H1 = (H2 - H3) + H4 && H5 = (H9 + H8) + H4 && H12 = \n    ((H1 . Y) == (H9 . X)) && (H13 . Y) == (H3 . X))) ||\n  ((H1 = (H2 + H3) + H4 && H5 = (H7 - H6) + H4 && H14 = \n    ((H1 . X) == (H7 . Y)) && (H15 . X) == (H3 . Y))))\n\(check-sat)"
The Five Switches,"Use QF_LIA and set-logic QF_UF to prove that there is exactly one way to program a computer to switch between five lights on, one at a time, while the lights are off.",\setlogic QF_UF\declare-const i\int i \assert (i = 0)\declare-const j\int j \assert (j = 1)\declare-const k\int k \assert (k = 2)\declare-const l\int l \assert (l = 3)\declare-const m\int m \assert (m = 4)\declare-const n\int n \assert (n = 5)\declare-const p\int p \assert (p = i)\declare-const q\int q \assert (q = j)\declare-const r\int r \assert (r = k)\declare-const s\int s \assert (s = l)\declare-const t\int t \assert (t = m)\declare-const u\int u \assert (u = n)\declare-const v\int v \assert (v = p)\declare-const w\int w \assert (w = q)\declare-const x\int x \assert (x = r)\declare-const y\int y \assert (y = s)\declare-const z\int z \assert (z = t)\declare-const a\int a \assert (a = u)\declare-const b\int b \assert (b = v)\declare-const c\int c \assert (c = w)\declare-const d\int d \assert (d = x)\declare-const e\int e \assert (e = y)\declare-const f\int f \assert (f = z)\check-sat
